rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundary,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
2200,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,182,39,40,https://www.trulia.com/p/ma/boston/23-eutaw-st-2-boston-ma-02128--2358940250
2300,East Boston,multifamily,3.0,1.0,12,8,4,0,Low,41,2,0,0,0,1,1,0,0,0,285,38,99,https://www.trulia.com/p/ma/boston/132-bremen-st-boston-ma-02128--2001522841
1800,East Boston,multifamily,2.0,1.0,7,5,2,0,High,41,4,0,0,1,1,1,1,1,0,439,61,181,https://www.trulia.com/p/ma/boston/76-havre-st-2-boston-ma-02128--2431262672
2695,East Boston,multifamily,4.0,1.0,10,4,3,3,Lowest,41,1,0,0,0,0,0,1,0,1,345,46,140,https://www.trulia.com/p/ma/boston/303-maverick-st-3-boston-ma-02128--2420740574
1800,East Boston,multifamily,2.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,0,0,198,34,56,https://www.trulia.com/p/ma/boston/220-saratoga-st-1-boston-ma-02128--2174287550
3000,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,4,0,0,1,1,1,1,1,1,284,36,104,https://www.trulia.com/p/ma/boston/143-cottage-st-3-boston-ma-02128--2171808414
2150,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,182,39,40,https://www.trulia.com/p/ma/boston/23-eutaw-st-3-boston-ma-02128--2356279220
1850,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,3,0,0,0,1,1,1,1,1,282,40,110,https://www.trulia.com/p/ma/boston/45-jeffries-st-3-boston-ma-02128--2287632455
1900,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,3,0,0,1,1,1,0,0,1,258,43,73,https://www.trulia.com/p/ma/boston/33-princeton-st-3-boston-ma-02128--2174305680
1895,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,3,0,0,0,1,1,1,1,1,282,40,110,https://www.trulia.com/p/ma/boston/45-jeffries-st-3-boston-ma-02128--2287632455
1950,East Boston,multifamily,2.0,1.0,6,2,2,2,Lowest,41,3,0,0,0,1,1,1,1,1,124,22,22,https://www.trulia.com/p/ma/boston/99-addison-st-boston-ma-02128--2001531480
1995,East Boston,multifamily,3.0,1.0,11,7,4,0,Low,41,3,0,0,1,1,1,0,1,1,274,38,92,https://www.trulia.com/p/ma/boston/146-bremen-st-2-boston-ma-02128--2284122761
1950,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,1,0,0,0,0,0,1,1,1,256,36,85,https://www.trulia.com/p/ma/east-boston/160-cottage-st-east-boston-ma-02128--1049882073
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,3,0,0,1,1,1,0,0,0,205,34,59,https://www.trulia.com/p/ma/boston/119-lexington-st-3r-boston-ma-02128--2001522351
2400,East Boston,multifamily,3.0,1.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,0,0,446,62,179,https://www.trulia.com/p/ma/boston/219-maverick-st-3-boston-ma-02128--2184028154
3000,East Boston,multifamily,4.0,1.0,15,7,4,4,Lowest,41,4,0,0,1,1,1,1,0,0,226,35,61,https://www.trulia.com/p/ma/boston/261-havre-st-3-boston-ma-02128--2171808489
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,1,199,31,56,https://www.trulia.com/p/ma/boston/65-morris-st-3-boston-ma-02128--2172025788
2500,East Boston,multifamily,3.0,1.0,4,2,0,2,Low,41,4,0,0,1,1,1,1,0,1,214,38,57,https://www.trulia.com/p/ma/boston/299-lexington-st-1-boston-ma-02128--2171568679
2450,East Boston,multifamily,3.0,1.0,8,4,2,2,Low,41,2,0,0,1,0,0,1,0,1,210,36,56,https://www.trulia.com/p/ma/boston/358-princeton-st-3-boston-ma-02128--2183125690
2400,East Boston,multifamily,3.0,1.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,0,0,446,62,179,https://www.trulia.com/p/ma/boston/219-maverick-st-2-boston-ma-02128--2176728870
2400,East Boston,multifamily,3.0,1.0,8,4,2,2,Low,41,0,0,0,0,0,0,0,0,0,164,45,32,https://www.trulia.com/p/ma/boston/451-meridian-st-2-boston-ma-02128--2176728982
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Moderate,41,4,0,0,1,1,1,1,1,0,198,34,56,https://www.trulia.com/p/ma/boston/220-saratoga-st-2-boston-ma-02128--2171480536
2995,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,4,0,0,1,1,1,1,1,0,65,7,11,https://www.trulia.com/p/ma/boston/905-saratoga-st-3-boston-ma-02128--2171576308
2995,East Boston,multifamily,4.0,1.0,6,2,2,2,Lowest,41,4,0,0,1,1,1,1,1,1,145,24,27,https://www.trulia.com/p/ma/boston/718-saratoga-st-3-boston-ma-02128--2171486865
2700,East Boston,multifamily,4.0,1.0,10,4,3,3,Low,41,2,0,0,1,0,0,1,0,0,467,62,189,https://www.trulia.com/p/ma/boston/284-sumner-st-2-boston-ma-02128--2171568444
2850,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,4,0,0,1,1,1,1,1,0,65,7,11,https://www.trulia.com/p/ma/boston/905-saratoga-st-3-boston-ma-02128--2171576308
