rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife
2200,East Boston,multifamily,3.0,1.0,12,6,3,3,Moderate,41,1,1,0,0,0,0,0,1,0,182,39,40
2300,East Boston,multifamily,3.0,1.0,12,8,4,0,Low,41,3,1,0,0,1,1,0,0,0,285,38,99
1800,East Boston,multifamily,2.0,1.0,7,5,2,0,High,41,5,1,0,1,1,1,1,1,0,439,61,181
2695,East Boston,multifamily,4.0,1.0,10,4,3,3,Lowest,41,1,0,0,0,0,0,1,0,1,345,46,140
1800,East Boston,multifamily,2.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,0,0,198,34,56
3000,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,5,1,0,1,1,1,1,1,1,284,36,104
2150,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,1,1,0,0,0,0,0,1,0,182,39,40
1850,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,4,1,0,0,1,1,1,1,1,282,40,110
1900,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,4,1,0,1,1,1,0,0,1,258,43,73
1895,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,4,1,0,0,1,1,1,1,1,282,40,110
1950,East Boston,multifamily,2.0,1.0,6,2,2,2,Lowest,41,4,1,0,0,1,1,1,1,1,124,22,22
1995,East Boston,multifamily,3.0,1.0,11,7,4,0,Low,41,4,1,0,1,1,1,0,1,1,274,38,92
1950,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,2,1,0,0,0,0,1,1,1,256,36,85
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Moderate,41,4,1,0,1,1,1,0,0,0,205,34,59
2400,East Boston,multifamily,3.0,1.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,0,0,446,62,179
3000,East Boston,multifamily,4.0,1.0,15,7,4,4,Lowest,41,5,1,0,1,1,1,1,0,0,226,35,61
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,1,199,31,56
2500,East Boston,multifamily,3.0,1.0,4,2,0,2,Low,41,5,1,0,1,1,1,1,0,1,214,38,57
2450,East Boston,multifamily,3.0,1.0,8,4,2,2,Low,41,2,0,0,1,0,0,1,0,1,210,36,56
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Moderate,41,5,1,0,1,1,1,1,1,0,198,34,56
2400,East Boston,multifamily,3.0,1.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,0,0,446,62,179
2400,East Boston,multifamily,3.0,1.0,8,4,2,2,Low,41,0,0,0,0,0,0,0,0,0,164,45,32
2995,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,5,1,0,1,1,1,1,1,0,65,7,11
2995,East Boston,multifamily,4.0,1.0,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,1,1,145,24,27
2700,East Boston,multifamily,4.0,1.0,10,4,3,3,Low,41,2,0,0,1,0,0,1,0,0,467,62,189
2850,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,5,1,0,1,1,1,1,1,0,65,7,11
2400,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,284,38,105
2400,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,5,1,0,1,1,1,1,1,1,284,36,104
