rent,bed,bath,school,elemenatary_school,middle_school,high_school,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,area_Allston,area_Back Bay/ Beacon Hill,area_Central,area_Charlestown,area_Dorchester,area_East Boston,area_Fenway,area_Hyde Park,area_Jamaica Plain,area_Mattapan,area_Mission Hill,area_Roslindale,area_Roxbury,area_South Boston,area_South End,area_West Roxbury,property_type_apartment,property_type_condo,property_type_multifamily,property_type_singlefamily,property_type_townhouse,crime_High,crime_Highest,crime_Low,crime_Lowest,crime_Moderate,area
2400,3.0,1.0,10,4,3,3,41,0,0,0,0,0,0,0,0,0,446,62,179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2600,2.0,1.0,12,6,3,3,41,3,1,0,0,1,1,0,0,0,205,39,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
3100,3.0,1.0,9,5,2,2,41,4,1,0,0,1,1,1,0,0,167,43,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2400,3.0,1.0,10,4,3,3,41,0,0,0,0,0,0,0,0,0,446,62,179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2775,2.0,1.0,12,6,3,3,41,0,0,0,0,0,0,0,1,0,248,42,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
3200,4.0,1.0,6,2,2,2,41,5,1,0,1,1,1,1,0,0,93,15,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3275,3.0,1.0,11,7,4,0,41,5,1,0,1,1,1,1,1,1,285,38,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
3000,3.0,1.0,11,5,3,3,41,5,1,0,1,1,1,1,1,1,284,36,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2400,3.0,1.0,11,5,3,3,41,5,1,0,1,1,1,1,1,1,284,36,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2900,3.0,1.0,6,2,2,2,41,0,0,0,0,0,0,0,0,0,141,24,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2600,2.0,1.0,6,4,2,0,41,1,0,0,0,0,0,1,0,1,439,59,178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
3200,4.0,1.0,4,2,0,2,41,2,0,0,1,0,0,1,0,1,167,38,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2995,4.0,1.0,6,2,2,2,41,5,1,0,1,1,1,1,1,1,145,24,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2200,2.0,1.0,7,3,2,2,41,4,1,0,0,1,1,1,0,1,225,33,77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2500,2.0,1.0,6,4,2,0,41,5,1,0,1,1,1,1,0,1,465,63,193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Boston
3000,4.0,1.0,11,5,3,3,41,5,1,0,1,1,1,1,0,1,284,36,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2800,3.0,1.0,10,4,3,3,41,0,0,0,0,0,0,0,0,0,361,49,148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2195,2.0,1.0,11,5,3,3,41,0,0,0,0,0,0,0,0,0,422,59,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2600,3.0,1.0,10,4,3,3,41,1,0,0,0,0,0,1,1,0,551,67,215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2700,4.0,1.0,10,4,3,3,41,2,0,0,1,0,0,1,0,0,467,62,189,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
