Rent,Address,Area,Bed,Bath,School,Crime,Commute,Shop_eat,Description,Feature,URL
"$2,200/mo",23 Eutaw St #2,"East Boston, Boston, MA",3 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat182 Restaurants39 Groceries40 Nightlife,"23 Eutaw St #2,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 23 Eutaw St #2 is located inEast Boston, Boston. 23 Eutaw St #2 was listed for rent for $1,995/month on Jun 15, 2020. This property is pet friendly.","Details for 23 Eutaw St #2Multi FamilyCats, small dogs, large dogs allowed10 Days on TruliaDeposit: $1,995Laundry: Shared",https://www.trulia.com/p/ma/boston/23-eutaw-st-2-boston-ma-02128--2358940250
"$2,300/mo",132 Bremen St,"East Boston, Boston, MA",3 Beds,1 Bath,Schools8 Elementary Schools4 Middle Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat285 Restaurants38 Groceries99 Nightlife,"132 Bremen St,Boston, MA is a 3 bedroom, 1 bathroom, 2,866 sqft multi-family built in 1900. 132 Bremen St is located inEast Boston, Boston. 132 Bremen St was listed for rent for $2,300/month on May 3, 2020.","Details for 132 Bremen StMulti FamilyBuilt in 190053 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,300Laundry: In UnitNo Air ConditioningHeating fuel: noneParking Type: noneDryerWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/132-bremen-st-boston-ma-02128--2001522841
"$1,800/mo",76 Havre St #2,"East Boston, Boston, MA",2 Beds,1 Bath,Schools5 Elementary Schools2 Middle Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat439 Restaurants61 Groceries181 Nightlife,"76 Havre St #2,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 76 Havre St #2 is located inEast Boston, Boston. 76 Havre St #2 was listed for rent for $1,800/month on Apr 5, 2020.","Details for 76 Havre St #2Multi FamilyNo pets allowedRent Includes: Sewage, GarbageDeposit: $1,800Laundry: In UnitHeating fuel: noneParking Type: noneNo Air ConditioningDishwasherDryerRefrigeratorWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/76-havre-st-2-boston-ma-02128--2431262672
"$2,695/mo",303 Maverick St #3,"East Boston, Boston, MA",4 Beds,1 Bath,Schools4 Elementary Schools3 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat345 Restaurants46 Groceries140 Nightlife,"303 Maverick St #3,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 303 Maverick St #3 is located inEast Boston, Boston. 303 Maverick St #3 was listed for rent for $2,695/month on May 2, 2020.","Details for 303 Maverick St #3Multi Family54 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,695Street ParkingHeating fuel: noneNo Air ConditioningRefrigeratorFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/303-maverick-st-3-boston-ma-02128--2420740574
"$1,800/mo",220 Saratoga St #1,"East Boston, Boston, MA",2 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat198 Restaurants34 Groceries56 Nightlife,"220 Saratoga St #1,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 220 Saratoga St #1 is located inEast Boston, Boston. 220 Saratoga St #1 was listed for rent for $1,800/month on Apr 28, 2020.","Details for 220 Saratoga St #1Multi Family58 Days on TruliaRent Includes: Sewage, GarbageDeposit: $1,800No Air ConditioningHeating fuel: noneParking Type: noneFloors: HardwoodHeating Fuel: None",https://www.trulia.com/p/ma/boston/220-saratoga-st-1-boston-ma-02128--2174287550
"$3,000/mo",143 Cottage St #3,"East Boston, Boston, MA",4 Beds,1 Bath,Schools5 Elementary Schools3 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat284 Restaurants36 Groceries104 Nightlife,"143 Cottage St #3,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 143 Cottage St #3 is located inEast Boston, Boston. 143 Cottage St #3 was listed for rent for $3,200/month on Feb 2, 2020. This property is pet friendly.","Details for 143 Cottage St #3Multi FamilyCats allowedRent Includes: Sewage, GarbageDeposit: $3,200Heating fuel: noneLaundry: In UnitNo Air ConditioningStreet ParkingDishwasherDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: Electric ElectricSee All",https://www.trulia.com/p/ma/boston/143-cottage-st-3-boston-ma-02128--2171808414
"$2,200/mo",23 Eutaw St #2,"East Boston, Boston, MA",3 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat182 Restaurants39 Groceries40 Nightlife,"23 Eutaw St #2,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 23 Eutaw St #2 is located inEast Boston, Boston. 23 Eutaw St #2 was listed for rent for $1,995/month on Jun 15, 2020. This property is pet friendly.","Details for 23 Eutaw St #2Multi FamilyCats, small dogs, large dogs allowed10 Days on TruliaDeposit: $1,995Laundry: Shared",https://www.trulia.com/p/ma/boston/23-eutaw-st-2-boston-ma-02128--2358940250
"$2,150/mo",23 Eutaw St #3,"East Boston, Boston, MA",3 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat182 Restaurants39 Groceries40 Nightlife,"23 Eutaw St #3,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 23 Eutaw St #3 is located inEast Boston, Boston. 23 Eutaw St #3 was listed for rent for $2,150/month on May 7, 2020. This property is pet friendly.",Details for 23 Eutaw St #3Multi FamilyCats allowed49 Days on TruliaRear PorchModern KitchenLaundry: SharedModern BathPorch,https://www.trulia.com/p/ma/boston/23-eutaw-st-3-boston-ma-02128--2356279220
"$1,850/mo",45 Jeffries St #3,"East Boston, Boston, MA",2 Beds,1 Bath,Schools3 Elementary Schools2 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat282 Restaurants40 Groceries110 Nightlife,"45 Jeffries St #3,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 45 Jeffries St #3 is located inEast Boston, Boston. 45 Jeffries St #3 was listed for rent for $1,895/month on Jun 2, 2020. This property is pet friendly.","Details for 45 Jeffries St #3Multi FamilyCats allowed23 Days on TruliaRent Includes: Sewage, GarbageLaundry: In UnitStreet ParkingHeating fuel: noneNo Air ConditioningLaundry: SharedDryerRefrigeratorWasherFloors: TileHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/45-jeffries-st-3-boston-ma-02128--2287632455
"$1,900/mo",33 Princeton St #3,"East Boston, Boston, MA",2 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeHigh crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat258 Restaurants43 Groceries73 Nightlife,"33 Princeton St #3,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 33 Princeton St #3 is located inEast Boston, Boston. 33 Princeton St #3 was listed for rent for $1,900/month on May 7, 2020.","Details for 33 Princeton St #3Multi Family49 Days on TruliaRent Includes: Sewage, GarbageDeposit: $1,900Heating fuel: noneLaundry: SharedLaundry: In UnitNo Air ConditioningStreet ParkingDishwasherDryerWasherHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/33-princeton-st-3-boston-ma-02128--2174305680
"$1,895/mo",45 Jeffries St #3,"East Boston, Boston, MA",2 Beds,1 Bath,Schools3 Elementary Schools2 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat282 Restaurants40 Groceries110 Nightlife,"45 Jeffries St #3,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 45 Jeffries St #3 is located inEast Boston, Boston. 45 Jeffries St #3 was listed for rent for $1,895/month on Jun 2, 2020. This property is pet friendly.","Details for 45 Jeffries St #3Multi FamilyCats allowed23 Days on TruliaRent Includes: Sewage, GarbageLaundry: In UnitStreet ParkingHeating fuel: noneNo Air ConditioningLaundry: SharedDryerRefrigeratorWasherFloors: TileHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/45-jeffries-st-3-boston-ma-02128--2287632455
"$1,950/mo",99 Addison St,"East Boston, Boston, MA",2 Beds,1 Bath,Schools2 Elementary Schools2 Middle Schools3 High Schools,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat124 Restaurants22 Groceries22 Nightlife,"99 Addison St,Boston, MA is a 2 bedroom, 1 bathroom multi-family. 99 Addison St is located inEast Boston, Boston. 99 Addison St was listed for rent for $1,950/month on Jun 15, 2020.","Details for 99 Addison StMulti FamilyNo pets allowed10 Days on TruliaRent Includes: Sewage, GarbageLaundry: SharedNo Air ConditioningHeating fuel: noneStreet ParkingLaundry: In UnitDryerRefrigeratorWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/99-addison-st-boston-ma-02128--2001531480
"$1,995/mo",146 Bremen St #2,"East Boston, Boston, MA",3 Beds,1 Bath,Schools7 Elementary Schools4 Middle Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat274 Restaurants38 Groceries92 Nightlife,"146 Bremen St #2,Boston, MA is a 3 bedroom, 1 bathroom, 700 sqft multi-family. 146 Bremen St #2 is located inEast Boston, Boston. 146 Bremen St #2 was listed for rent for $1,995/month on May 11, 2020. This property is pet friendly.","Details for 146 Bremen St #2Multi FamilyCats, small dogs, large dogs allowed45 Days on TruliaModern BathStainless Steel Appliance(s)New AppliancesLaundry: In UnitModern KitchenEat-in KitchenGranite Counter TopsHigh CeilingStreet ParkingNew/Renovated KitchenNew/Renovated BathDeckDishwasherDisposalDryerLawnMicrowaveWasherFloors: HardwoodSee All",https://www.trulia.com/p/ma/boston/146-bremen-st-2-boston-ma-02128--2284122761
"$1,950/mo",160 Cottage St,"East Boston, East Boston, MA",2 Beds,1 Bath,Schools5 Elementary Schools3 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat256 Restaurants36 Groceries85 Nightlife,"160 Cottage St,East Boston, MA is a 2 bedroom, 1 bathroom multi-family. 160 Cottage St is located inEast Boston, East Boston. 160 Cottage St was listed for rent for $1,950/month on Jun 15, 2020.","Details for 160 Cottage StMulti FamilyAvailable: Jul 1stNo pets allowed10 Days on TruliaRent Includes: Hot Water, WaterDeposit: $1,950ParkingLaundry: SharedMicrowaveRefrigeratorSee All",https://www.trulia.com/p/ma/east-boston/160-cottage-st-east-boston-ma-02128--1049882073
"$2,500/mo",119 Lexington St #3R,"East Boston, Boston, MA",3 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools2 High Schools,CrimeModerate crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat205 Restaurants34 Groceries59 Nightlife,"119 Lexington St #3R,Boston, MA is a 3 bedroom, 1 bathroom, 834 sqft multi-family built in 1910. 119 Lexington St #3R is located inEast Boston, Boston. 119 Lexington St #3R was listed for rent for $2,500/month on Apr 1, 2020.","Details for 119 Lexington St #3RMulti FamilyBuilt in 1910Rent Includes: Hot Water, Sewage, GarbageDeposit: $2,500No Air ConditioningLaundry: SharedLaundry: In UnitParking Type: noneHeating fuel: noneDishwasherDryerWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/119-lexington-st-3r-boston-ma-02128--2001522351
"$2,400/mo",219 Maverick St #3,"East Boston, Boston, MA",3 Beds,1 Bath,Schools4 Elementary Schools3 Middle Schools1 High School,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat446 Restaurants62 Groceries179 Nightlife,"219 Maverick St #3,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 219 Maverick St #3 is located inEast Boston, Boston. 219 Maverick St #3 was listed for rent for $2,400/month on Jun 7, 2020.","Details for 219 Maverick St #3Multi Family18 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,400Parking Type: noneHeating fuel: noneNo Air ConditioningHeating Fuel: None",https://www.trulia.com/p/ma/boston/219-maverick-st-3-boston-ma-02128--2184028154
"$3,000/mo",261 Havre St #3,"East Boston, Boston, MA",4 Beds,1 Bath,Schools7 Elementary Schools4 Middle Schools1 High School,CrimeLowest crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat226 Restaurants35 Groceries61 Nightlife,"261 Havre St #3,Boston, MA is a 4 bedroom, 1 bathroom multi-family. 261 Havre St #3 is located inEast Boston, Boston. 261 Havre St #3 was listed for rent for $3,050/month on Mar 16, 2020.","Details for 261 Havre St #3Multi FamilyRent Includes: Sewage, GarbageParking: Off StreetDeposit: $3,050Laundry: SharedNo Air ConditioningParking Type: noneHeating fuel: noneLaundry: In UnitDishwasherDisposalDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: Gas GasSee All",https://www.trulia.com/p/ma/boston/261-havre-st-3-boston-ma-02128--2171808489
"$2,500/mo",65 Morris St #3,"East Boston, Boston, MA",3 Beds,1 Bath,Schools6 Elementary Schools3 Middle Schools1 High School,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat199 Restaurants31 Groceries56 Nightlife,"65 Morris St #3,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 65 Morris St #3 is located inEast Boston, Boston. 65 Morris St #3 was listed for rent for $2,500/month on Jun 10, 2020.","Details for 65 Morris St #3Multi FamilyNo pets allowed15 Days on TruliaRent Includes: Gas, Sewage, GarbageDeposit: $2,500Heating fuel: noneNo Air ConditioningStreet ParkingFloors: HardwoodHeating Fuel: Gas GasSee All",https://www.trulia.com/p/ma/boston/65-morris-st-3-boston-ma-02128--2172025788
"$2,500/mo",299 Lexington St #1,"East Boston, Boston, MA",3 Beds,1 Bath,Schools2 Elementary Schools2 High Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat214 Restaurants38 Groceries57 Nightlife,"299 Lexington St #1,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 299 Lexington St #1 is located inEast Boston, Boston. 299 Lexington St #1 was listed for rent for $2,500/month on May 8, 2020.","Details for 299 Lexington St #1Multi Family48 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,500Laundry: In UnitStreet ParkingHeating fuel: noneNo Air ConditioningLaundry: SharedDishwasherDryerMicrowaveRefrigeratorWasherFloors: HardwoodHeating Fuel: NoneSee All",https://www.trulia.com/p/ma/boston/299-lexington-st-1-boston-ma-02128--2171568679
"$2,450/mo",358 Princeton St #3,"East Boston, Boston, MA",3 Beds,1 Bath,Schools4 Elementary Schools2 Middle Schools3 High Schools,CrimeLow crime relative to the rest of Suffolk county.,Commute41% of residents commute by car.,Shop & Eat210 Restaurants36 Groceries56 Nightlife,"358 Princeton St #3,Boston, MA is a 3 bedroom, 1 bathroom multi-family. 358 Princeton St #3 is located inEast Boston, Boston. 358 Princeton St #3 was listed for rent for $2,450/month on May 20, 2020.","Details for 358 Princeton St #3Multi Family36 Days on TruliaRent Includes: Sewage, GarbageDeposit: $2,450Heating fuel: noneNo Air ConditioningStreet ParkingDishwasherDisposalRefrigeratorFloors: HardwoodHeating Fuel: Electric ElectricSee All",https://www.trulia.com/p/ma/boston/358-princeton-st-3-boston-ma-02128--2183125690
