rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
900,Dorchester,multifamily,1.0,0.0,12,6,3,3,Low,63,4,1,0,0,1,1,1,1,1,168,34,20,https://www.trulia.com/rental/4078841494-342-Bowdoin-St-R3845-Boston-MA-02122
2600,Charlestown,multifamily,2.0,1.0,6,2,2,2,Lowest,56,1,0,0,0,0,0,1,1,0,376,64,125,https://www.trulia.com/p/ma/boston/28-cross-st-2-boston-ma-02129--2185691484
4200,Allston,apartment,5.0,2.0,17,5,6,6,Moderate,31,3,1,0,0,1,1,0,1,1,317,39,68,https://www.trulia.com/c/ma/allston/5-bed-2-0-bath-4-200-86-linden-st-allston-ma-02134--1001595083
2000,Dorchester,multifamily,1.0,1.0,7,3,2,2,Lowest,54,3,1,0,0,1,1,0,1,0,64,17,13,https://www.trulia.com/p/ma/boston/341-gallivan-blvd-4-boston-ma-02124--2172423832
3770,Jamaica Plain,multifamily,4.0,2.0,10,6,2,2,Lowest,42,5,1,0,1,1,1,1,0,1,123,28,23,https://www.trulia.com/p/ma/boston/55-iffley-rd-2-boston-ma-02130--2315647489
2850,Central,multifamily,2.0,1.0,4,2,2,0,Lowest,20,3,1,0,0,1,1,0,0,0,841,100,292,https://www.trulia.com/p/ma/boston/9-charter-st-4-boston-ma-02113--2171824642
2400,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,1,1,0,0,0,0,0,1,0,409,58,166,https://www.trulia.com/p/ma/boston/33-chelsea-st-2-boston-ma-02128--2196819086
3225,Roxbury,multifamily,3.0,1.5,15,5,5,5,Lowest,53,5,1,0,1,1,1,1,0,1,240,38,36,https://www.trulia.com/p/ma/boston/47-beech-glen-st-2-boston-ma-02119--2171448315
2750,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,1,1,215,33,59,https://www.trulia.com/p/ma/boston/273-havre-st-boston-ma-02128--2001526624
3000,Dorchester,multifamily,3.0,2.0,14,4,5,5,Low,63,4,1,1,0,1,1,0,1,1,118,29,18,https://www.trulia.com/p/ma/dorchester/37-dix-st-dorchester-ma-02122--2001479302
2700,Roslindale,multifamily,3.0,2.0,3,2,1,0,Lowest,66,1,1,0,0,0,0,0,1,1,84,18,16,https://www.trulia.com/p/ma/roslindale/14-sheffield-rd-2-roslindale-ma-02131--2194422984
3275,East Boston,multifamily,3.0,1.0,11,7,4,0,Low,41,4,1,0,1,1,1,0,0,1,285,38,99,https://www.trulia.com/p/ma/boston/101-chelsea-st-3-boston-ma-02128--2177248306
2200,West Roxbury,multifamily,2.0,1.0,1,1,0,0,Lowest,83,3,1,0,0,1,1,0,1,0,51,10,5,https://www.trulia.com/p/ma/west-roxbury/14-heron-st-411-west-roxbury-ma-02132--2467714797
2175,Jamaica Plain,multifamily,2.0,1.0,16,8,4,4,Moderate,53,5,1,0,1,1,1,1,0,0,178,40,29,https://www.trulia.com/p/ma/boston/2973-washington-st-a-boston-ma-02119--2001458667
2500,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,5,1,0,1,1,1,1,0,1,439,59,178,https://www.trulia.com/p/ma/boston/12-chelsea-st-3-boston-ma-02128--2177692332
2320,Back Bay/ Beacon Hill,multifamily,1.0,1.0,3,1,0,2,Lowest,21,5,1,0,1,1,1,1,0,1,671,66,258,https://www.trulia.com/p/ma/boston/455-beacon-st-3-boston-ma-02115--2172406568
